FID,file_name,impd_code,site_name,site_code,Contributo,Longitude,Latitude,Reference
537, , ,Quebec,64,Arseneault,-77.36059323,52.69719465,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
538, , ,Quebec,65,Arseneault,-77.37513557,52.67673524,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
539, , ,Quebec,66,Arseneault,-77.39042258,52.66371183,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
540, , ,Quebec,67,Arseneault,-77.40224275,52.64433761,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
541, , ,Quebec,68,Arseneault,-77.40879333,52.62690198,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
542, , ,Quebec,69,Arseneault,-77.41146301,52.61392947,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
543, , ,Quebec,70,Arseneault,-77.38734355,52.59472017,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
544, , ,Quebec,71,Arseneault,-77.36644677,52.58840993,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
545, , ,Quebec,72,Arseneault,-77.34567507,52.57463544,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
546, , ,Quebec,73,Arseneault,-77.3205934,52.560308,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
547, , ,Quebec,74,Arseneault,-77.30820478,52.54173901,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
548, , ,Quebec,77,Arseneault,-77.30959192,52.51298717,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
549, , ,Quebec,78,Arseneault,-77.33331354,52.49874985,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
550, , ,Quebec,79,Arseneault,-77.35074838,52.48863425,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
551, , ,Quebec,80,Arseneault,-77.34865812,52.47451824,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
552, , ,Quebec,81,Arseneault,-77.34476063,52.45919005,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
553, , ,Quebec,82,Arseneault,-77.33075832,52.4381023,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
554, , ,Quebec,83,Arseneault,-77.33058632,52.42737804,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
555, , ,Quebec,84,Arseneault,-77.30575154,52.41178897,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
